date,holiday
2017-01-02,New Year's Day
2017-01-16,Martin Luther King Jr. Day
2017-02-20,Washington’s Birthday
2017-04-17,Patriots' Day
2017-05-29,Memorial Day
2017-07-04,Independence Day
2017-09-04,Labor Day
2016-10-10,Columbus Day
2016-11-11,Veterans' Day
2016-11-24,Thanksgiving Day
2016-12-26,Christmas Day
